comment,comment_id,source
"""Good morning to all""","""1183411118435462_1183419865101254""",DOST_PAGASA
"""Nice. Ty for update""","""1183411118435462_1183419978434576""",DOST_PAGASA
"""Morning too""","""1183411118435462_1183420198434554""",DOST_PAGASA
"""Tnx po sa update""","""1183411118435462_1183420405101200""",DOST_PAGASA
"""morning update""","""1183411118435462_1183420568434517""",DOST_PAGASA
"""\ud83c\udf02\u2614\u26a1""","""1183411118435462_1183420625101178""",DOST_PAGASA
"""Nice weather to every juan\ud83c\udf42\ud83d\udc4d\ud83c\udffb""","""1183411118435462_1183420635101177""",DOST_PAGASA
"""Thank you Pag-asa""","""1183411118435462_1183420681767839""",DOST_PAGASA
"""Ang lakas po ng ulan sa surigao""","""1183411118435462_1183420718434502""",DOST_PAGASA
,"""1183411118435462_1183420818434492""",DOST_PAGASA
"""Dito sa Sorsogon po ang lakas ng hangin""","""1183411118435462_1183420911767816""",DOST_PAGASA
"""Malakas po ang ulan dito sa cebu""","""1183411118435462_1183420918434482""",DOST_PAGASA
"""Malakas po ulan dito sa cebu maam.""","""1183411118435462_1183420968434477""",DOST_PAGASA
"""Ang init sa Manila hehehe""","""1183411118435462_1183420995101141""",DOST_PAGASA
"""Gang kelan po magging maulan??? Ty""","""1183411118435462_1183421018434472""",DOST_PAGASA
"""Heavy rains po dito sa Bais City, Negros Oriental""","""1183411118435462_1183421181767789""",DOST_PAGASA
"""Malakas ang hangin at ulan dito sa negros...""","""1183411118435462_1183421195101121""",DOST_PAGASA
"""Malakas din ang ulannat hangin sa negros.. parang may bagyo""","""1183411118435462_1183421201767787""",DOST_PAGASA
"""Dito rin sa negros lakas din ulan""","""1183411118435462_1183421225101118""",DOST_PAGASA
"""Anung name""","""1183411118435462_1183421245101116""",DOST_PAGASA
"""malakas ulan dito sa Roxas City""","""1183411118435462_1183421261767781""",DOST_PAGASA
"""Sana may char gen ng name ng reporter \ud83d\udc4d\ud83c\udffb\ud83d\udc4d\ud83c\udffb\ud83d\udc4d\ud83c\udffb""","""1183411118435462_1183421351767772""",DOST_PAGASA
"""Tanauan Leyte  maula din ma'am!""","""1183411118435462_1183421395101101""",DOST_PAGASA
"""Sa mga nag sasabing maulan sa lugar nila alm ng pagasa un heheheh""","""1183411118435462_1183421405101100""",DOST_PAGASA
"""Umoulan naman dito sa negros""","""1183411118435462_1183421441767763""",DOST_PAGASA
"""malakas hangin at ulan d2 catarman""","""1183411118435462_1183421458434428""",DOST_PAGASA
"""Hahaha korek!""","""1183411118435462_1183421551767752""",DOST_PAGASA
"""Leganes, Iloilo maulan rin""","""1183411118435462_1183421785101062""",DOST_PAGASA
"""More""","""1183411118435462_1183421865101054""",DOST_PAGASA
"""Thmk u glaiza. Very informative""","""1183411118435462_1183421911767716""",DOST_PAGASA
"""nanu ato roxas city lakas ulan""","""1183411118435462_1183421971767710""",DOST_PAGASA
"""MARAMING SALAMAT PO  DOST PAGASA , UPDATING WEATHER REPORT""","""1183411118435462_1183422108434363""",DOST_PAGASA
"""Pwede rewind? D ko napanood sa visayas. Grabe ulan dto sa cebu""","""1183411118435462_1183422265101014""",DOST_PAGASA
"""How bout leyte""","""1183411118435462_1183422518434322""",DOST_PAGASA
"""Kmsta po ang negros? Masama ang internet dito.""","""1183411118435462_1183422965100944""",DOST_PAGASA
"""Ulan dto sa lapu lapu city, cebu""","""1183411118435462_1183423175100923""",DOST_PAGASA
"""Ff""","""1183411118435462_1183426475100593""",DOST_PAGASA
"""thanks for the update""","""1183411118435462_1183426788433895""",DOST_PAGASA
"""Thank u so much dost pagasa!""","""1183411118435462_1183426965100544""",DOST_PAGASA
"""Ang lakas ng Ulan Dito sa Bais City,Negros Or.magandang umaga PAG-ASA..""","""1183411118435462_1183427051767202""",DOST_PAGASA
"""Negros maulan""","""1183411118435462_1183427365100504""",DOST_PAGASA
"""Dto po batangas lakas hangin""","""1183411118435462_1183427985100442""",DOST_PAGASA
"""Ulan dto sa bacolod \u00e1t malakas ang hangin""","""1183411118435462_1183428275100413""",DOST_PAGASA
"""Tnx for info..""","""1183411118435462_1183428328433741""",DOST_PAGASA
"""Tnx for d info.""","""1183411118435462_1183428411767066""",DOST_PAGASA
"""malakas po ang ulan dito sa cebu.""","""1183411118435462_1183428555100385""",DOST_PAGASA
"""Good Job!\ud83d\udc4d\ud83d\udc4f\ud83d\udc4f\ud83d\udc4f\ud83d\udc4f""","""1183411118435462_1183429755100265""",DOST_PAGASA
"""Lakas ng ulan dito sa Roxas City""","""1183411118435462_1183429841766923""",DOST_PAGASA
"""Para pong bagyo na s amin.\ud83d\ude1f\ud83d\ude1f Samar po kami""","""1183411118435462_1183430875100153""",DOST_PAGASA
"""Maulan dito sa palo...""","""1183411118435462_1183433428433231""",DOST_PAGASA
"""Your weather forecasts are good for us here in Australia for we can know our relatives are ok""","""1183411118435462_1183433498433224""",DOST_PAGASA
"""good a.m. thank u dost pagasa update""","""1183411118435462_1183433525099888""",DOST_PAGASA
"""It's so cold . thanks for update\ud83d\ude0a""","""1183411118435462_1183433535099887""",DOST_PAGASA
"""Maraming salamat po sa update""","""1183411118435462_1183433551766552""",DOST_PAGASA
"""Salamat sa update mam""","""1183411118435462_1183433851766522""",DOST_PAGASA
"""Gusto kita malumanay at klaro magsalita""","""1183411118435462_1183433945099846""",DOST_PAGASA
"""Thanks for the update""","""1183411118435462_1183434071766500""",DOST_PAGASA
"""Aklan po ba....""","""1183411118435462_1183434125099828""",DOST_PAGASA
"""Mkulimlim dto sa Pangasinan""","""1183411118435462_1183434455099795""",DOST_PAGASA
"""salamat sa update,malakas ang ulan dto sa samar""","""1183411118435462_1183434595099781""",DOST_PAGASA
"""Lakas ng ulan sa capiz""","""1183411118435462_1183434915099749""",DOST_PAGASA
"""Cling Borbon-Canales""","""1183411118435462_1183435145099726""",DOST_PAGASA
"""Di tumitigil yung ulan ..""","""1183411118435462_1183435201766387""",DOST_PAGASA
"""Lakas ng ulan sa lapu-lapu city""","""1183411118435462_1183435328433041""",DOST_PAGASA
"""Surigao del norte madalas ang ulan.""","""1183411118435462_1183435455099695""",DOST_PAGASA
"""kailan po gaganda ang panahon sa cebu?""","""1183411118435462_1183436691766238""",DOST_PAGASA
"""ulan dito MANDAUE CITY""","""1183411118435462_1183436718432902""",DOST_PAGASA
"""Maulan po dito sa guihulngan. Tnx 4 d update...""","""1183411118435462_1183436785099562""",DOST_PAGASA
"""\ud83d\udc4d""","""1183411118435462_1183438191766088""",DOST_PAGASA
"""Maulan talaga dito sa palapag, northern samar.located north eastern tip of samar""","""1183411118435462_1183438275099413""",DOST_PAGASA
"""Tss. Malappit nanaman sa amin. \ud83d\ude22""","""1183411118435462_1183438355099405""",DOST_PAGASA
"""\u2614\u26a1\ud83d\udca6""","""1183411118435462_1183438395099401""",DOST_PAGASA
"""Mkulimlim d2 sa mindoro""","""1183411118435462_1183438681766039""",DOST_PAGASA
"""maulan dito sa leyte""","""1183411118435462_1183438705099370""",DOST_PAGASA
"""Ulan dito sa zambuangga sibugay""","""1183411118435462_1183439101765997""",DOST_PAGASA
"""Slamat sa update""","""1183411118435462_1183439175099323""",DOST_PAGASA
"""Salahat Aklan po ba meron low pre sure?""","""1183411118435462_1183439515099289""",DOST_PAGASA
"""Maulan at mahangin s orintal mindoro2 sa""","""1183411118435462_1183439525099288""",DOST_PAGASA
"""Ohw no \ud83d\ude2f\ud83d\ude32\ud83d\ude32\ud83d\ude32\ud83d\ude32\ud83d\ude32""","""1183411118435462_1183440461765861""",DOST_PAGASA
"""salamat po sa update \ud83d\ude0a\ud83d\ude0a\ud83d\ude0a""","""1183411118435462_1183440735099167""",DOST_PAGASA
"""Lakas ang ulan sa tacloban""","""1183411118435462_1183441245099116""",DOST_PAGASA
"""thanks po sa update..""","""1183411118435462_1183441378432436""",DOST_PAGASA
"""Ulan po dito sa lapu-lapu cebu\nKanina pang 4:00 am""","""1183411118435462_1183441425099098""",DOST_PAGASA
"""Gud am Pagasa thanks for the weather updates.""","""1183411118435462_1183441468432427""",DOST_PAGASA
"""Bawal ba bumyahe ang barko""","""1183411118435462_1183441975099043""",DOST_PAGASA
"""maulan tsaka mahangin dito sa Placer, Masbate""","""1183411118435462_1183442318432342""",DOST_PAGASA
