emotion,content
neutral,"How much of the forecast was genuine and how much was fixed, it is a moot point."
neutral,"I did touch them one time you see but of course there was nothing doing, he wanted me."
neutral,We find that choice theorists admit that they introduce a style of moral paternalism at odds with liberal values.
neutral,"Its rudder and fin were both knocked out, and a four-foot-long gash in the shell meant even repairs on the bank were out of the question."
angry,Over my dead body are you arresting him.
neutral,He's a good fighter but there are certain points you can pick holes in.
neutral,This is turning into one of those mediaeval disputes which split hairs endlessly.
sad,"So, you know, whilst I'm a little bit reluctant, in a way I think that's water under the bridge, and in my view actually the extension improves it all."
neutral,"In 1978, in an attempt to wipe the slate clean, Pinochet declared an amnesty to cover all human rights abuses since the coup."
sad,"Doctors who tried to help the wounded were caught in the crossfire, and in some places ambulances also came under attack."
neutral,"Hitler, of course, was dead set against a war between Britain and Germany."
angry,"They were always at it, hammer and tongs you know, they had what would be called something similar to a steam hammer.."
amazed,"For a brother and sister act, there was certainly no love lost between them."
neutral,"Well, you weren't gonna argue the toss."
sad,"Then, in 1981, all hell broke loose in the Cambridge English Faculty."
neutral,"Chantal hissed, her eyes locked on his in a battle of wills."
angry,I've got a bone to pick with one club.
neutral,"Someone was saying on television, one of those, petrol weekend things, about all the black things, and they they were saying, you know, the black a black mood."
angry,"It was only a suggestion, Robyn; there's no need to blow a fuse."
neutral,Blow a gasket.
angry,"Dear Father Christmas, I have a bone to pick with you."
angry,"You sound cheesed off, what's the matter?"
angry,For crying out loud.
amazed,"I read the paper and I saw a glow worm in it, so I cut it out and gave it to him and he stuck it up in the factory."
sad,"He was fit to be tied when I separated from Hugh, and he seems to blame me for the whole thing."
angry,"Don't fly off the handle, Ma."
amazed,But notice kick the bucket appears as a verb phrase.
angry,It would get on my nerves.
angry,Oh will you give it a rest.
angry,"Just as he will not tolerate questions about his private life, so he will also go ballistic if bureacrats attempt to meddle in his creative decisions."
angry,Some got extremely hot under the collar about it.
angry,"So I mean you, you just mind your own business."
angry,"Both sides, as so often in such debates, generated more heat than light."
neutral,Was it going to be a rap on the knuckles for quality?
neutral,He already said he could see red and green.
angry,It's steamed up between the layers is that what you're looking at.
neutral,That's what'd stick in my throat.
angry,"Because I like you, Breeze, and it makes my blood boil to think of you slaving away as you do."
angry,Well you'll take the biscuit out of the Wednesday thing won't you?
angry,I know you are too stupid to understand this but I will talk slowly and loudly and hope that you won't try my patience too far.
neutral,He says you have to have nerves of steel.
neutral,So these are hung on tenterhooks directly hammered straight into the wall.
amazed,Tongue tied.
angry,I'm at my wits end.
amazed,"Ants in your pants, darling?"
neutral,"Once it was known that Terry Gill was wanted for questioning, a young constable who knew him, all bright eyed and bushy tailed, pointed out that his van had been parked in the car-park all day within fifty yards of the Incident Room."
happy,"A bit further, give us a smile, lick your lips, Gilly."
sad,So I can't go away in the autumn now cos that's just when everybody starts raring to go and wanting to get started on next year's programme.
sad,"But I was, I was bored to tears."
amazed,I didn't know I could have such a good time so close to home.
neutral,"The leisurewear industry would come apart at the seams, literally, without this indispensable fastening."
neutral,"He waited to be instructed, what else a Rifleman could do to be less like a fish out of water in a battalion of Grenadiers."
neutral,"In a fit of pique, she'd included some wild canvases in the last show."
neutral,Try to get a grip on yourself and tell me about it.
neutral,Jane could not get worked up about any car.
angry,"So I go, have a job to find it he just looks at me hard as nails."
happy,"To fight for King and Country; to keep a stiff upper lip and a devil-may-care sangfroid, no matter if he were scared shitless."
amazed,"I was, as a newly arrived curate, somewhat taken aback and went home to lick my wounds."
neutral,"Since immigrants from hot countries have settled here for generations, surviving the cold, icy blast, the hybrid English, with the blood of many nations in their veins will not turn a hair at the cooler climate or the cooler neighbours."
neutral,"Not only are characters within the tale likened to animals for instance the miller, proud as a peacock, with his skull."
happy,"Yeah, pleased as punch."
neutral,"But her silence, and her eyebrows, speak volumes."
neutral,The windows upstairs are all steamed up.
neutral,Come clean Steve. Swallow your pride.
sad,He doesn't come and whisper sweet nothings in our ears.
amazed,"Mind you, when I was skivvying for that Brixton fam'ly, the head of the fam'ly didn't' alf take a fancy to me."
neutral,Providing the income you will need after you stop work can take a load off your mind.
angry,Don't tear your hair out.
neutral,So these are hangings erm hung on tenterhooks directly hammered straight into the wall.
neutral,"Chill out, Tal."
happy,Feast your eyes on this little dazzler a gem in a million.
amazed,"Listen to the way he sings the phase ' Footloose And Fancy Free',"
neutral,The Jamboree was in full swing.
happy,"Because you know they came up, they were full of the joys of spring, looking around, chatting to their friends. so happy"
happy,"Both of them were breathing hard, such a hurry and scramble of lips, hands, such a heat inside and between them, he stuffed one small breast into his mouth and then the other, giving her the same churn of astonished guilty pleasure as when she lay on her bed in the afternoons and read the forbidden books she smuggled home from the library."
happy,Ooh well they used to well they didn't used to sing a lot of songs but er they used to do a lot of you know playing about and perhaps and then they'd perhaps have a ball.
happy,And mummy will have a whale of a time.
neutral,It's only when you let your hair down that others can see the real person hiding under the hat.
neutral,"By the time they were ready to leave she was having to use every ounce of effort to convince Andr that no, she didn't want to paint the town red, or any other colour, for that matter, and no, she didn't want to have any candlelit dinners with him."
amazed,No. He was only pulling your leg.
sad,No punch line :(
neutral,"He is not a flamboyant man, nor is he much of a social butterfly except by comparison with the rest of his senior colleagues who tend to keep to their own counsel and lives in Barnes."
happy,"After that, the world is your oyster, as they say."
happy,"For the past five days now she had been living somewhere on cloud nine, and had decided that she might just as well set up home there, as it was such a wonderful place to be."
sad,"Cry my eyes out, make an absolute wally of myself and now you tell me he was a Repo Man."
sad,"so, he said that she's feeling a bit down in the dumps and quite moody."
happy,"That erm, made me laugh because he said to his secretary, erm, you know, I I honestly don't think your time is she is so down in the mouth."
happy,"To pretend as the sister said, that because she and another sister share lesbian sexuality, that that is the only thing, I think is living in a fools paradise."
happy,Mr Crangle was grinning from ear to ear.
happy,"They're going to have to come out of the forests,' he replied, with a grin like a Cheshire cat."
neutral,I wish I could happy go lucky like that.
sad,"The voice sings along with the song, then turns into a hum. Your heart sinks. You were hoping he was alone in the house."
happy,"Female speaker I jump for joy... but until I hear from the Foreign Office or from Martin, I won't believe it."
happy,I suppose that comments like that are music to your ears?
neutral,"It's a little lad and I looked through a window, I could see Judith holding this baby but you had to walk round to get to her and I knew before you'd got there and you were all over the moon about this little baby and everything."
happy,"She was not quite sure what all of them were laughing about but there they were, rolling about with mirth, and Herbert Fraser looking as pleased as Punch."
happy,"Constance was in seventh heaven, the dresses, the hats, the model girls, everything appeared perfect to her."
happy,Oh Tilly was thrilled to bits with that little that little plastic thing.
happy,"I'm tickled pink. If I wasn't, I wouldn't have kept quiet about you and him, would I?"
happy,"Erm since we've got together we, we are on top of the world."
happy,"You feel, at the end of the treatment you feel as if you're walking on air."
angry,I will go bananas.
sad,It may very well be that I'm not playing with a full deck.
sad,"I'm gonna get stir crazy not being able to play badminton I know, and I score, it's gonna drive me crazy."
neutral,"It may well be necessary to botch up repairs using hurdles, bedsteads, corrugated iron sheets, scraps of wire netting, and baler twine."
neutral,"This picture of Dreadnought was so wide of the mark that Willis found it better to say nothing, simply making a gesture which had something in common with a petty officer's salute."
neutral,"Yes, the done thing for driving horses to canter or gallop on the road, they never ever should."
angry,Perhaps next time you'll inform me first before you gatecrash my party and throw yourself into the fountain.
neutral,Did I speak out of turn?
angry,"Come on now, Malachi, don't stand on ceremony here at home."
neutral,The government takes the view that President Clinton was simply addressing domestic critics of his foreign policy and that his complaints shouldn't set the alarm bells ringing.
neutral,Someone came out of The Two Pheasants and latched the door back to the wall hospitably.
sad,The fuel gauge had gone on the blink shortly after the start.
neutral,In the Army someone has to carry the can.
neutral,They're in a Catch 22 situation.
neutral,"Ah, that is the crux of the matter, is it not?"
